Severity,City,County,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Junction,Stop,Traffic_Signal,daytime
2,Lafayette Hill,Montgomery_PA,PA,71,99,2,0,0.1,Light Rain,FALSE,FALSE,FALSE,twilight
2,Charlotte,Mecklenburg_NC,NC,61,60,10,0,0,Overcast,FALSE,FALSE,TRUE,day
2,Burnsville,Dakota_MN,MN,10.9,84,0.8,5.8,0.05,Light Snow,TRUE,FALSE,FALSE,night
2,Annapolis,Anne Arundel_MD,MD,84,58,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Canby,Clackamas_OR,OR,68,56,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
2,Portland,Multnomah_OR,OR,68,76,7,4.6,0,Smoke,FALSE,FALSE,TRUE,day
3,Antioch,Lake_IL,IL,16,57,10,5.8,0,Clear,FALSE,FALSE,FALSE,twilight
3,Clinton,Hunterdon_NJ,NJ,19.9,52,10,5.8,0,Scattered Clouds,TRUE,FALSE,FALSE,day
2,Mokena,Will_IL,IL,28.8,93,7,16.1,0,Overcast,FALSE,FALSE,FALSE,day
2,Newark,Alameda_CA,CA,57.2,94,6,5.8,0,Overcast,FALSE,FALSE,FALSE,twilight
3,Hyattsville,Prince George's_MD,MD,41.5,98,5,0,0,Overcast,FALSE,FALSE,FALSE,twilight
2,Knightdale,Wake_NC,NC,64,73,10,7,0,Cloudy,FALSE,FALSE,FALSE,day
3,Baldwin Park,Los Angeles_CA,CA,50,100,3,6.9,0,Overcast,FALSE,FALSE,FALSE,night
2,Rowland Heights,Los Angeles_CA,CA,64.9,58,10,5.8,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Kensington,Rockingham_NH,NH,77.2,25,10,13.8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Hacienda Heights,Los Angeles_CA,CA,68,37,9,5.8,0,Clear,FALSE,FALSE,FALSE,day
3,Houston,Harris_TX,TX,93.2,41,10,8.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Newhall,Los Angeles_CA,CA,52,77,10,0,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Bayonne,Hudson_NJ,NJ,61,41,10,16.1,0,Scattered Clouds,FALSE,FALSE,FALSE,day
